smiles,measured log solubility in mols per litre
CC1:C([N+](=O)[O-]):C:C:C:C:1[N+](=O)[O-],-3
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.42
CCN(CC)C1:N:C(Cl):N:C(N(CC)CC):N:1,-4.411
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl,-5.4
BrC1:C:C:C(Br):C(Br):C:1,-4.5
O=C1NC2:C:C:C(Cl):C:C:2C(C2:C:C:C:C:C:2)=NC1O,-3.952
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,-2.356
CC1:C:C:C(C(C)C):C:C:1O,-2.08
O=C1CSC(=S)N1,-1.77
O=C1:C(O):C(C2:C:C:C(O):C:C:2O):O:C2:C:C(O):C:C(O):C:1:2,-3.083
O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,-5.259
CCN(CC)C(=S)SSC(=S)N(CC)CC,-4.86
C1CCCCC1,-3.1
ClC1=C(Cl)C(Cl)(C2(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,-7.278
CC1:C:C(Cl):C:C:C:1N=CN(C)C,-2.86
CC12CCC3:C(:C:C:C4:C:C(O):C:C:C:3:4)C1CCC2=O,-5.24
CCCCCCCCO,-2.39
CCSCC,-1.34
ClCCCl,-1.06
CCC(C)(C)Cl,-2.51
ClCCBr,-1.32
NC1:C:C:C([N+](=O)[O-]):C:C:1,-2.37
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,-0.244
CCN1C(=O)C2:C:C:C:N:C:2N(CC)C2:N:C:C:C:C:21,-2.86
ClC1:C:C:C:C:C:1,-2.38
C=CCCCCCCC,-5.05
BrC1:C:C:C(I):C:C:1,-4.56
CCC(C)(O)CC,-0.36
CCCCCC1:C:C:C:C:C:1,-4.64
NC(=O)NC1NC(=O)NC1=O,-1.6
O=C(OCC(O)CO)C1:C:C:C:C:C:1NC1:C:C:N:C2:C:C(Cl):C:C:C:1:2,-4.571
ClC1:C:C:C(C(C2:C:C:C(Cl):C:C:2)C(Cl)Cl):C:C:1,-7.2
CC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-5.184
ClC1:C:C:C:C2:C:C:C:C:C:1:2,-3.93
CCN1C2:C:C:C:C:C:2C(=O)N(C)C2:C:C:C:C:C:21,-4.749
CCCCC(C)O,-0.89
CCCC1CCCC1,-4.74
CCOC(=O)C1:C:N:C:N:1C(C)C1:C:C:C:C:C:1,-4.735
OC1:C:C:C(Cl):C(Cl):C:1,-1.25
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1:C:C:C:C(OC2:C:C:C:C:C:2):C:1,-8.017
C1:C:C:C2:O:C:N:C:2:C:1,-1.16
CCCCCO,-0.6
CCN(CC)C1:C:C:C:C:C:1,-3.03
FC1:C:C:C:C(F):C:1,-2
N#CCCCl,-0.29
CC(C)(C)CC1:C:C:C:C:C:1,-4.15
CCC1(C2:C:C:C:C:C:2)C(=O)NC(=O)NC1=O,-2.322
ClC1:C:C:C:C:C:1I,-3.54
C1:C:C:C2:[NH]:N:N:C:2:C:1,-0.78
CNC(=O)OC1:C:C:C:C2:C:1OC(C)(C)C2,-2.8
CC1:C:C:C:C(C):C:1O,-1.29
CC(C)C(C)O,-0.18
OC(C1:C:C:C:C:C:1)C1:C:C:C:C:C:1,-2.55
CCCCCCCCCC(=O)OC,-4.69
COP(=S)(OC)OC1:C:C:C([N+](=O)[O-]):C:C:1Cl,-4.31
CC(C)CBr,-2.43
CCI,-1.6
CC1:N:C(N(C)C):N:C(OC(=O)N(C)C):C:1C,-1.95
CCCCCCBr,-3.81
CCCC(C)C,-3.74
CC1:C(F):C(F):C(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C):C(F):C:1F,-7.321
CCC1:C:C:C:C(C):C:1N(C(=O)CCl)C(C)COC,-2.73
O=[N+]([O-])C1:C:C:C(C=NO):O:1,-2.19
CC(C)C(NC1:C:C:C(C(F)(F)F):C:C:1Cl)C(=O)OC(C#N)C1:C:C:C:C(OC2:C:C:C:C:C:2):C:1,-8.003
NC1:N:C:[NH]:N:1,0.522
BrC(Br)Br,-1.91
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.22
CCOP(=S)(OCC)SCN1:C(=O):O:C2:C:C(Cl):C:C:C:2:1,-5.233
OCC1:C:C:C:C:C:1,-0.4
O=C1:O:C2:C:C:C:C:C:2:C(O):C:1C1CCCC2:C:C:C:C:C:21,-2.84
OC1:C:C:C(Br):C:C:1,-1.09
CC(C)Br,-1.59
CC(C)CC(C)(C)C,-4.74
O=[N+]([O-])C1:C:C([N+](=O)[O-]):C:C([N+](=O)[O-]):C:1,-2.89
CN1C(=O)CN=C(C2:C:C:C:C:C:2)C2:C:C([N+](=O)[O-]):C:C:C:21,-3.796
CCC,-1.94
NC1:C:C(N2CCCCC2):N:C(N):[N+]:1[O-],-1.989
NC1:C:C:C:C2:N:C3:C:C:C:C:C:3:C:C:1:2,-4.22
C1:C:C:C2:C:C3:C(:C:C:2:C:1)C1:C:C:C:C2:C:C:C:C3:C:1:2,-8.49
OC(C1:C:C:C(Cl):C:C:1)(C1:C:C:C(Cl):C:C:1)C(Cl)(Cl)Cl,-5.666
C1:C:C2:C3:C(:C:C:C:C:3:C:1)CC2,-4.63
CCOP(=S)(OCC)SC(CCl)N1C(=O)C2:C:C:C:C:C:2C1=O,-6.34
BrC1:C:C:C(Br):C:C:1,-4.07
CN1:C(=O):O:N(C2:C:C:C(Cl):C(Cl):C:2):C:1=O,-2.82
OC1:C:C:C(C2:C:C:C:C:C:2):C:C:1,-3.48
CC1=C(C(=O)NC2:C:C:C:C:C:2)CCCO1,-2.56
C=COCC,-0.85
C#CCC,-1.24
COC1:N:C:N:C2:N:C:C:N:C:1:2,-1.11
CCCCC(C)(O)CC,-1.6
ClC1:C:C:C(Cl):C:C:1,-3.27
CC(=O)OCN1C(=O)NC(C2:C:C:C:C:C:2)(C2:C:C:C:C:C:2)C1=O,-4.47
CSCS(=O)CC(CO)NC(=O)C=CC1:C(C):[NH]:C(=O):[NH]:C:1=O,-1.981
CC1:C:[NH]:C2:C:C:C:C:C:1:2,-2.42
COC1:N:C:C2:N:C:C:N:C:2:N:1,-1.11
CNC(=O)OC1:C:C:C:C:C:1C1OCCO1,-1.57
CC(C)CNC(=O)N1CCNC1=O,-2.15
CC#N,0.26
CCOC(=O)NCCOC1:C:C:C(OC2:C:C:C:C:C:2):C:C:1,-4.7
CC(=O)N(C1:O:N:C(C):C:1C)S(=O)C1:C:C:C(N):C:C:1,-3.59
ClCC(Cl)(Cl)Cl,-2.18
CCCCO,0
CC1CCCCC1NC(=O)NC1:C:C:C:C:C:1,-4.11
ClC1:C:C(Cl):C:C(Cl):C:1,-4.48
O=CC1:C:C:C:O:1,-0.1
CC(C)CCO,-0.51
O=CC1:C:C:C2:C(:C:1)OCO2,-1.63
C=C(C)C,-2.33
O=CC1:C:C:C:C:C:1,-1.19
C=C(C)C(=C)C,-2.4
CCOC(=O)CCN(SN(C)C(=O)OC1:C:C:C:C2:C:1OC(C)(C)C2)C(C)C,-4.71
CN1C(=O)C2:C:C:C:N:C:2OC2:C:C:C:C:C:21,-3.672
C1:C:C:C2:C(:C:1)CC1:C:C:C:C:C:12,-5
CC1CCCCC1,-3.85
N=C(N)NS(=O)(=O)C1:C:C:C(N):C:C:1,-1.99
COC(=O)C1:C:C:C(O):C:C:1,-1.827
CC1CCCO1,0.11
CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,-3.09
OCC1:C:C:C:C:C:1OC1OC(CO)C(O)C(O)C1O,-0.85
CCCI,-2.29
CCNC1:N:C(NC(C)C):N:C(SC):N:1,-3.04
CCCO,0.62
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.817
CCCC(C)O,-0.29
O=C(C1:C:C:C:C:C:1)C(O)C1:C:C:C:C:C:1,-2.85
CC1:C:C:C(O):C(C):C:1,-1.19
O=[N+]([O-])C1:C:C:C:C(Cl):C:1,-2.77
CC1:C(N):C(=O):N(C2:C:C:C:C:C:2):N:1C,-0.624
ClC1:C:C:C(C2:C:C(Cl):C:C:C:2Cl):C(Cl):C:1,-6.57
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-4.92
CCNC1:N:C(NC(C)(C)C):N:C(SC):N:1,-4
CCC(C)CCO,-0.71
CC1:N:C:C2:N:C:C:N:C:2:N:1,-0.12
C#CC1(O)CCC2C3CCC4=CC5:O:N:C:C:5CC4(C)C3CCC21C,-5.507
CCCCI,-2.96
BrC1:C:C:C2:C:C:C:C:C:2:C:1,-4.4
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,-4.081
FC(F)(F)C1:C:C:C:C:C:1,-2.51
CCCCCCOC(=O)C1:C:C:C:C:C:1C(=O)OCCCCCC,-6.144
C1:C:C:C2:C(:C:1):S:C1:C:C:C:C:C:1:2,-4.38
ClC1:C:C:C(C2:C:C:C(Cl):C(Cl):C:2Cl):C(Cl):C:1,-7.8
ClC1:C:C:C(C2:C:C:C(Cl):C(Cl):C:2Cl):C(Cl):C:1Cl,-8.01
CC(=O)CC(C1:C:C:C:C:C:1)C1:C(O):C2:C:C:C:C:C:2:O:C:1=O,-3.893
OC(C1:C:C:C:C:C:1)C(O)C1:C:C:C:C:C:1,-1.93
COC(=O)C1:C:C:C:C:C:1C(=O)OC,-1.66
CCCCCCCC(=O)OCC,-3.39
CCSSCC,-2.42
CCOCCOCC,-0.77
ClC1:C:C(Cl):C(Cl):C:C:1Cl,-5.56
NC1:C:C:C(C2:C:C:C(N):C:C:2):C:C:1,-2.7
C=CCCCCC,-3.73
CCCCC1:C(C):N:C(NCC):[NH]:C:1=O,-3.028
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.39
NC1:C:C:C:C:C:1Cl,-1.52
COC1:C:C:C:C(Cl):C:1,-2.78
CCCCN(CC)C(=O)SCCC,-3.53
CCCCOC=O,-1.37
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.18
ClC(Cl)Br,-1.54
CC12CC(=O)C3C(CCC4=CC(=O)CCC43C)C1CCC2=O,-3.48
C1:C:C:C(C2:C:C:C(C3:C:C:C:C:C:3):C:C:2):C:C:1,-7.11
O=CC1:C:C:C(O):C:C:1,-0.96
CBr,-0.79
CC1:C:C(S(=O)(=O)C2:C:C:C:C:C:2):C:C:C:1NS(=O)(=O)C(F)(F)F,-3.8
CC(=O)CC(C1:C:C:C(Cl):C:C:1)C1:C(O):C2:C:C:C:C:C:2:O:C:1=O,-5.839
CCC1:C:C:C2:C:C:C:C:C:2:C:1,-4.29
CC1:C:[NH]:C(=O):N:C:1N,-1.458
ClC1:C(Cl):C(Cl):C(C2:C:C:C:C:C:2):C(Cl):C:1Cl,-7.92
O=C(NC1:C:C:C:C:C:1)C1:C:C:C:C:C:1I,-4.21
CC1:C:C2:N:C3:C(=O):[NH]:C(=O):N:C3:N(CC(O)C(O)C(O)CO):C:2:C:C:1C,-3.685
FC1:C:C:C:C:C:1Br,-2.7
OC1:C:C:C(Cl):C:C:1Cl,-1.55
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCC1:C:C:C:C(OC2:C:C:C:C:C:2):C:1,-6.291
CN1C(C(=O)NC2:C:C:C:C:N:2)=C(O)C2:C:C:C:C:C:2S1(=O)=O,-4.16
CCC(=O)OCN1C(=O)NC(C2:C:C:C:C:C:2)(C2:C:C:C:C:C:2)C1=O,-4.907
C1CCCC1,-2.64
CC1:C:C:C:C:C:1N,-2.21
C=CCC1:C:C:C(OC):C:C:1,-2.92
CN(C)C(=O)NC1:C:C:C:C(OC(=O)NC(C)(C)C):C:1,-2.93
C=CC(C)C,-2.73
OC1:C:C:C:C:N:1,1.02
CC,-1.36
ClC1:C:C:C:C:C:1Cl,-3.05
SC1:N:C2:C:C:C:C:C:2:S:1,-3.18
ClC1:C(Cl):C(Cl):C(C2:C(Cl):C(Cl):C(Cl):C(Cl):C:2Cl):C(Cl):C:1Cl,-11.6
COC1:C2:O:C:C:C:2:C:C2:C:C:C(=O):O:C:1:2,-3.664
CC(N)=O,1.58
CC1:C:C:C:C2:C:C:C:C:C:1:2,-3.7
CCN(CC)C(=O)C(C)OC1:C:C:C:C2:C:C:C:C:C:1:2,-3.57
CC(O)C(C)(C)C,-0.62
CCCC(=O)OCC,-1.36
CC1=CC(=O)C2:C:C:C:C:C:2C1=O,-3.03
C1:C:C:C2:C(:C:1):C:C:C1:C:C:C:C:C:1:2,-5.26
CC1:C:C:N:C(C):C:1,0.38
CCCCCCCCCO,-3.01
BrCBr,-1.17
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.59
CC1:C:C:C2:C:C(C):C:C:C:2:C:1,-4.89
CCSC(=O)N(CC(C)C)CC(C)C,-3.68
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],-2.22
NC1:C:C:C:C([N+](=O)[O-]):C:1,-2.19
CCCCCl,-2.03
O=CNC(N1C=CN(C(NC=O)C(Cl)(Cl)Cl)C=C1)C(Cl)(Cl)Cl,-4.19
CN1:C:C(C2:C:C:C:C:C:2):C(=O):C(C2:C:C:C:C(C(F)(F)F):C:2):C:1,-4.445
NC1:C:C2:C3:C:C:C:C:C:3:C:C:C:2:C2:C:C:C:C:C:1:2,-6.2
CC12CCC3C4:C:C:C(O):C:C:4CCC3C1CCC2=O,-3.955
CCN1C2:C:C:C:C:C:2N(C)C(=S)C2:C:C:C:N:C:21,-4.706
CC1CO1,-0.59
O=C1CN=C(C2:C:C:C:C:C:2)C2:C:C([N+](=O)[O-]):C:C:C:2N1,-3.796
CCNC(=S)NCC,-1.46
OC1:C:C(Cl):C:C(Cl):C:1Cl,-2.67
CCCCC(=O)OC,-1.34
NC1:C:C:C:C:C:1,-0.41
CC1:C:C:C:C2:C(C):C:C:C:C:1:2,-4.679
NS(=O)(=O)C1:C:C2:C(:C:C:1Cl)NCNS2(=O)=O,-2.63
C1=CC2:C:C:C:C3:C:C:C:C1:C:2:3,-3.96
CCCCCOC(=O)CC,-1.28
CCNC1:N:C(NC(C)C):N:C(OC):N:1,-2.084
C1:C:C:C2:C(:C:1):C:C1:C:C:C3:C:C:C:C4:C:C:C:2:C:1:C:3:4,-8.699
CCBr,-1.09
CCC#CCC,-1.99
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,-5.293
C=C(C)CC,-2.73
OC1:C:C:C:C2:C:C:C:N:C:1:2,-2.42
C1:C:C:C2:C(:C:1)CCCC2,-4.37
O=C1OC(C2:C:C:C(O):C:C:2)(C2:C:C:C(O):C:C:2)C2:C:C:C:C:C:21,-2.9
BrC1:C:C(Br):C:C(Br):C:1,-5.6
COP(=S)(OC)OC1:C:C(Cl):C(Cl):C:C:1Cl,-5.72
CC1:C:C(=O):[NH]:C(=S):[NH]:1,-2.436
C=CCC1:C:C:C(O):C(OC):C:1,-1.56
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-1.708
C1:C:C2:C:C:C3:C:C:C:C4:C:C:C(:C:1):C:2:C:3:4,-6.176
CCOC(C)OCC,-0.43
CC1(C)CON(CC2:C:C:C:C:C:2Cl)C1=O,-2.338
CCCCOCCO,-0.42
O=[N+]([O-])C1:C(Cl):C(Cl):C(Cl):C(Cl):C:1Cl,-5.82
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,-4.402
O=C1C(Cl)C(CCl)CN1C1:C:C:C:C(C(F)(F)F):C:1,-4.047
C1:C:C:C2:N:C:C:C:C:2:C:1,-1.3
COC(=O)C1:C:C(O):C(O):C(O):C:1,-1.24
OC(CN1:C:N:C:N:1)(CN1:C:N:C:N:1)C1:C:C:C(F):C:C:1F,-1.8
O=C1:[NH]:C2:C:C(Cl):C:C:C:2:O:1,-2.831
ClC1:C:C:C(C2:C(Cl):C(Cl):C(Cl):C(Cl):C:2Cl):C(Cl):C:1,-7.92
O=C1NC(=O)C(=O)C(=O)N1,-1.25
ClCCCCl,-1.62
FC1:C:C:C:C(Br):C:1,-2.67
ClC1:C:C:C(Br):C:C:1,-3.63
CC(C)C(C)C,-3.65
C=CCC,-1.94
ClC1:C:C:C(Cl):C(C2:C:C(Cl):C(Cl):C(Cl):C:2Cl):C:1,-7.68
NC1:C:C:[NH]:C(=O):N:1,-1.155
FC(F)(Cl)C(F)(Cl)Cl,-3.04
CCC#N,0.28
ClC1:C:C:C(C(C2:C:C:C:C:C:2Cl)C(Cl)Cl):C:C:1,-6.51
COC1:C:C:C:C:C:1[N+](=O)[O-],-1.96
CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,-4.12
CC12CC1(C)C(=O)N(C1:C:C(Cl):C:C(Cl):C:1)C2=O,-4.8
C1:C:C2:C:C:C3:C:C:C4:C:C:C5:C:C:C:C6:C(:C:1):C:2:C:3:C:4:C:5:6,-9.018
CCC(C)C1:C:C([N+](=O)[O-]):C:C([N+](=O)[O-]):C:1O,-3.38
COC1=C(OC)C2C(=O)OCC2C=C1,-1.899
OCC(O)CO,1.12
COC1:C:C:C:C:C:1O,-1.96
CCOP(=S)(OCC)OC1:N:C(Cl):C(Cl):C:C:1Cl,-5.67
CC1:C2:C:C:C:C:C:2:C:C2:C:C:C:C:C:1:2,-5.89
CC1:C:C(=O):N(C2:C:C:C:C:C:2):N:1C,0.715
CCCCOC,-0.99
CC1:C:N:C2:C:N:C:N:C:2:N:1,-0.854
CCNC1:N:C(Cl):N:C(NCC):N:1,-4.55
CC(=O)N(C)C,1.11
CSC1:N:C(N(C)C):N:C(N(C)C):N:1,-2.676
C=C,-0.4
CC(C)(C)CCO,-0.5
C=CCC1(CC)C(=O)NC(=O)NC1=O,-1.614
OC1:C:C:C(Cl):C(Cl):C:1Cl,-2.67
COC1:C:C:C:C:C:1,-1.85
CC(C)OC(=O)C(O)(C1:C:C:C(Cl):C:C:1)C1:C:C:C:C(Cl):C:1,-4.53
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12,-3.85
COC1:C:C:C(OC2:C:C:C(NC(=O)N(C)C):C:C:2):C:C:1,-4.16
CCC1:C:C:C(C):C:C:1,-3.11
CC(C)SC(C)C,-2.24
O=[N+]([O-])C1:C:C:C:C([N+](=O)[O-]):C:1,-2.29
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.54
CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2.21
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,-4.21
CC1:N:C:C([N+](=O)[O-]):N:1CCO,-1.22
NC1:C:C:C(Cl):C:C:1,-1.66
CCCC(C)(C)CO,-1.52
C1:C:C:O:C:1,-0.82
COCCCNC1:N:C(NC(C)C):N:C(SC):N:1,-2.928
CN(C)C(=O)NC1CC2CC1C1CCCC21,-3.171
CC(C)(C)C1:C:C:C:C:C:1,-3.66
CC(=O)CCC1C(=O)N(C2:C:C:C:C:C:2)N(C2:C:C:C:C:C:2)C1=O,-3.27
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,-4.37
CCCOC,-0.39
CC(=O)OC(C)C,-0.55
BrC1:C:C:C:C:C:1,-2.55
CCOC(=O)C1:C:C:C(O):C:C:1,-2.35
CCCC(=O)OCN1C(=O)NC(C2:C:C:C:C:C:2)(C2:C:C:C:C:C:2)C1=O,-5.071
CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-5.37
C1:C:C2:C:C:C3:C:C:C4:C:C:C5:C:C:C6:C:C:C:1:C1:C:2:C:3:C:4:C:5:C:6:1,-9.332
O=C1:[NH]:C:N:C2:[NH]:N:C:C:1:2,-2.266
C=CCl,-1.75
CN(C)C(=O)C(C1:C:C:C:C:C:1)C1:C:C:C:C:C:1,-2.98
BrC(Br)(Br)Br,-3.14
CCN1C2:C:C(N(C)C):C:C(C):C:2NC(=O)C2:C:C:C:N:C:21,-4.871
O=C1NC(=O)C2:C:C:C:C:C:21,-2.61
OC(C1:C:C:C(Cl):C:C:1)(C1:C:N:C:N:C:1)C1:C:C:C:C:C:1Cl,-4.38
COC(=O)C1:C:C:C:C:C:1,-1.85
CN1:C:C:C(=O):[NH]:C:1=O,-0.807
CCCCC1C(=O)N(C2:C:C:C:C:C:2)N(C2:C:C:C(O):C:C:2)C1=O,-3.73
ClC1:C:C:C(Cl):C(C2:C:C:C:C(Cl):C:2Cl):C:1,-6.47
CCC1NC(=O)C2:C:C(S(N)(=O)=O):C(Cl):C:C:2N1,-3.29
CN(C)C(=O)NC1:C:C:C(Cl):C(Cl):C:1,-3.8
C1=CCCC1,-2.1
O=C1NC(=O)C(O)(C2(O)C(=O)NC(=O)NC2=O)C(=O)N1,-1.99
CCCCCCCCC,-5.88
OC1:C:C:C:C:C:1Cl,-1.06
CC1:C:C2:C:C:C:C:C:2:C2:C:C:C3:C:C:C:C:C:3:C:1:2,-6.59
CCOC1:C:C:C:C:C:1,-2.33
CCOC(=O)C=CC1:C:C:C:C:C:1,-3
CC1:[NH]:C(=O):N(C(C)(C)C):C(=O):C:1Cl,-2.484
O=C1CN=C(C2:C:C:C:C:C:2Cl)C2:C:C([N+](=O)[O-]):C:C:C:2N1,-3.499
CC1:C:C:C(S(N)(=O)=O):C:C:1,-1.74
C#CC(C)OC(=O)NC1:C:C:C:C(Cl):C:1,-2.617
CCCCCC(C)C,-5.08
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)C1:C:C:C:C(OC2:C:C:C:C:C:2):C:1,-8.176
CCCC1C(=O)N2C(N(C)C)=NC3:C:C:C(C):C:C:3N2C1=O,-3.538
CN1C(=O)CN=C(C2:C:C:C:C:C:2)C2:C:C(Cl):C:C:C:21,-3.754
CCC(O)C(C)C,-0.7
CCOP(=S)(OCC)OC1:C:C:C(S(C)=O):C:C:1,-2.3
CC1(C)C2CCC1(C)C(O)C2,-2.32
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,-4.02
CCCCCCC,-4.53
OC1:C:C:C:C2:C:C:C:C:C:1:2,-2.22
CC1CCCCC1C,-4.3
COC1:C:C2:C(N):N:C(N3CCN(C(=O)OCC(C)(C)O)CC3):N:C:2:C(OC):C:1OC,-3.638
C1:C:C2:C3:C(:C4:C:C:C5:C:C:C:C:C:5:C:4:C:C:3:C:1)CC2,-7.85
CC(=O)C1(C)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.27
CCCCCC(C)=O,-1.45
COP(=O)(NC(C)=O)SC,0.54
CCCCSP(=O)(SCCCC)SCCCC,-5.14
O=C1NC(=O)C2C=CC=CC12,-2.932
NS(=O)(=O)C1:C:C2:C(:C:C:1Cl)NC(C(Cl)Cl)NS2(=O)=O,-2.68
CC=C(C)C,-2.56
CC1:C:C:C(C):C(C):C:1,-3.31
OC1:C:C(Cl):C(Cl):C:C:1Cl,-2.21
C1:C:C:C2:C(:C:1):C:N:C1:C:C:C:C:C:1:2,-2.78
CCCC(C)(O)CC,-0.98
CCCCCCCC,-5.24
C1:C:C:C2:C:C3:C:C:C:C:C:3:C:C:2:C:1,-6.35
NNC1:C:C:C:C:C:1,0.07
CCC=O,0.58
C1CCCCCCC1,-4.15
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,-2.077
ClC(Cl)Cl,-1.17
O=C1:C:C:N:C(S):[NH]:1,-2.273
O=C(NC1:C:C:C:C:C:1)N(CC1:C:C:C(Cl):C:C:1)C1CCCC1,-5.915
CC1=CCCCC1,-3.27
CCCCC(C=O)CC,-2.13
COC1:C2:O:C:C:C:2:C(OC):C2:C(=O):C:C(C):O:C:1:2,-3.021
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.658
C1:C:C:C2:C3:C(:C:C:C:2:C:1)C1:C:C:C:C2:C:C:C:C3:C:1:2,-8
CCC(C=O)CC,-1.52
CCCOCCC,-1.62
CCCCCCCCCCCCCCO,-5.84
OC1:C(Cl):C:C:C(Cl):C:1Cl,-2.64
NC(N)=O,0.96
C#CCCC,-1.64
BrC1:C:C:C:C(Br):C:1,-3.54
CCCCCCCCCCCCCCCCCCO,-8.4
CC(=O)NC1:C:C:C:C:C:1,-1.33
O=C1C=C2CC3(O)COC4:C(:C:C:C(O):C:4O)C3=C2C=C1O,-2.7
NNC(=O)C1:C:C:N:C:C:1,0.009
OC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,-5.46
CC(C)CCOC=O,-1.52
CC(=O)C1:C:C:C:C:C:1,-1.28
C1:C:C:C2:N:C(C3:C:C:C4:C:C:C:C:C:4:N:3):C:C:C:2:C:1,-5.4
CCOP(=O)(OCC)OCC,0.43
CC12CCC(C1)C(C)(C)C2=O,-1.85
COC1:C:N:C2:C:N:C:N:C:2:N:1,-0.91
ClC1=C(Cl)C2(Cl)C3CC=CC3C1(Cl)C2(Cl)Cl,-5.64
CC(C)[N+](=O)[O-],-0.62
C1:C:C:C2:C(:C:1):[NH]:C1:C:C:C:C:C:1:2,-5.27
OCC(O)C(O)CO,0.7
CCCOC(=O)C1:C:C:C(N):C:C:1,-2.452
CNC(=O)C=C(C)OP(=O)(OC)OC,0.651
O=C1CCC(=O)N1,0.3
CCC(C)C(C)C,-4.28
CCCCC1:C(C):N:C(NCC):N:C:1OS(=O)(=O)N(C)C,-4.16
CCN1C2:N:C:C:C:C:2C(=S)N(C)C2:C:C:C:N:C:21,-4.634
CCN1C(=O)C2:C:C:C:C:C:2OC2:C:C:C:C:C:21,-3.68
C1CCOCC1,-0.03
C#CCCCCC,-3.01
COC1:C:C:C2:C:C:C(=O):O:C:2:C:1CC=C(C)C,-4.314
CC1:C:C:C2:C(:C:C:C3:C4:C5:C(:C:C:C:C:5:C:C:3:2)CC4):C:1,-7.92
CCOC(=O)C1:C:C:C:C:C:1,-2.32
CC(C)CCl,-2
C#CC1(O)CCC2C3CCC4:C:C(O):C:C:C:4C3CCC21C,-4.3
CCCCCCCCCCCC(=O)OC,-4.69
CCCSCCC,-2.58
C1:C:C:C2:C:C3:C:C4:C:C:C:C:C:4:C:C:3:C:C:2:C:1,-8.6
CCCCCBr,-3.08
C/C=C/CCCC,-3.82
CC1:N:C:C([N+](=O)[O-]):N:1CCO,-1.26
CCCCCC1CCCC1,-6.08
ClC1:C:C:C(Cl):C(C2:C(Cl):C(Cl):C:C(Cl):C:2Cl):C:1,-7.42
CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2.148
CC(Cl)(Cl)Cl,-2
CON(C)C(=O)NC1:C:C:C(Cl):C:C:1,-2.57
O=C1NC(=O)C2(CCCCC2)C(=O)N1,-3.06
CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1,-0.85
CC1:C:C:C(Br):C:C:1,-3.19
CCOCC,-0.09
CC(C)NC(=O)N1CC(=O)N(C2:C:C(Cl):C:C(Cl):C:2)C1=O,-4.376
CCCCN(CC)C1:C([N+](=O)[O-]):C:C(C(F)(F)F):C:C:1[N+](=O)[O-],-5.53
CC1:C:C(C):C(O):C(C):C:1,-2.05
C1:C:C:C:C:C:1,-1.64
